,년,월,주말,행정동코드,총생활인구수,10세 이하,10대,20대,30대,40대,50대,60대,70세 이상,통계청행정동코드,행자부행정동코드,시도명,시군구명,행정동명
9924,2019,7,False,11740580,387103.8695652174,39645.739130434784,26095.956521739132,39886.782608695656,62123.86956521739,61673.04347826087,56960.391304347824,45010.52173913043,40712.34782608696,1125058,11740580,서울,강동구,암사2동
9925,2019,7,True,11740580,403701.5,36726.0,26907.875,43325.25,70389.0,67047.0,59545.0,44646.375,40250.375,1125058,11740580,서울,강동구,암사2동
9926,2019,8,False,11740580,389604.04545454547,37400.77272727273,25836.590909090908,40569.86363636364,63033.954545454544,63587.818181818184,57901.22727272727,45366.90909090909,40302.77272727273,1125058,11740580,서울,강동구,암사2동
9927,2019,8,True,11740580,401090.0,35784.555555555555,27097.11111111111,43544.11111111111,69562.77777777778,67156.44444444444,59158.88888888889,44078.88888888889,39150.22222222222,1125058,11740580,서울,강동구,암사2동
9928,2019,9,False,11740580,386015.25,37669.95,24327.05,38047.1,63031.0,63404.9,57783.65,45910.75,40464.25,1125058,11740580,서울,강동구,암사2동
9929,2019,9,True,11740580,411104.77777777775,37267.555555555555,28443.0,43260.88888888889,70445.33333333333,69512.33333333333,60850.666666666664,45784.11111111111,40210.11111111111,1125058,11740580,서울,강동구,암사2동
9930,2019,10,False,11740580,387662.9285714286,39095.357142857145,25608.071428571428,37433.142857142855,63830.92857142857,62849.0,56808.42857142857,45671.78571428572,40792.78571428572,1125058,11740580,서울,강동구,암사2동
9931,2019,10,True,11740580,446273.25,49009.5,35640.25,44583.5,75909.0,70983.0,62941.5,49149.75,42492.0,1125058,11740580,서울,강동구,암사2동
9932,2019,11,False,11740580,380172.95238095237,39077.380952380954,25128.619047619046,36358.619047619046,61632.09523809524,59607.0,55029.52380952381,46318.380952380954,41383.23809523809,1125058,11740580,서울,강동구,암사2동
9933,2019,11,True,11740580,400984.22222222225,37981.0,28252.333333333332,42192.0,68802.66666666667,64220.444444444445,56746.333333333336,46068.555555555555,41191.555555555555,1125058,11740580,서울,강동구,암사2동
9934,2019,12,False,11740580,383987.63636363635,39371.454545454544,26584.81818181818,37311.90909090909,62117.545454545456,59893.77272727273,55301.181818181816,46376.5,41484.90909090909,1125058,11740580,서울,강동구,암사2동
9935,2019,12,True,11740580,403486.1111111111,37670.333333333336,28039.444444444445,41534.555555555555,69399.0,64866.0,58215.77777777778,46813.0,41383.333333333336,1125058,11740580,서울,강동구,암사2동
